City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
9,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
23,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
29,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Namatanai,PG,78.89,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
35,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
39,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
40,Umm Lajj,SA,77.5,clear sky,25.0213,37.2685,Moon light Furnished Units
42,Atuona,PF,77.34,few clouds,-9.8,-139.0333,Villa Enata
44,Nabire,ID,76.14,moderate rain,-3.3667,135.4833,Hotel Nusantara I
54,Isangel,VU,82.51,overcast clouds,-19.55,169.2667,Tanna Lodge
62,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Pilar,BR,76.93,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
75,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
78,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
80,San Patricio,US,84.18,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
81,Inirida,CO,83.64,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
92,Palauig,PH,80.4,few clouds,15.435,119.9045,Villa Raphael Resort
99,Freetown,SL,82.11,broken clouds,8.484,-13.2299,The Country Lodge Hotel
110,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
112,Coahuayana,MX,84.15,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
130,Cabo San Lucas,MX,84.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
131,Morondava,MG,78.71,overcast clouds,-20.2833,44.2833,La Case Bambou
136,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
137,Port Blair,IN,78.71,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
140,Hithadhoo,MV,80.94,overcast clouds,-0.6,73.0833,Scoop Guest House
142,Humaita,BR,82.33,moderate rain,-7.5061,-63.0208,Corrêa Hotel
143,San Pedro,PH,79.83,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
147,Thinadhoo,MV,81.25,overcast clouds,0.5333,72.9333,
150,Angoche,MZ,76.78,clear sky,-16.2325,39.9086,Guest House HESADA
153,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
155,Alyangula,AU,84.54,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
157,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
163,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
169,Bubaque,GW,83.52,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
174,Loreto,MX,78.33,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
178,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
179,Touros,BR,78.96,clear sky,-5.1989,-35.4608,INN NEW HORIZON
181,Itarema,BR,79.41,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
184,Wagar,SD,81.34,clear sky,16.1525,36.2032,
185,Sao Felipe,BR,76.21,broken clouds,-14.8167,-41.3833,
187,Dillon,US,78.82,scattered clouds,34.4166,-79.3712,Dillon Express Inn
188,Labuhan,ID,79.05,moderate rain,-6.8844,112.2051,DoubleFAG
194,Faanui,PF,77.61,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,Dicabisagan,PH,77.74,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
203,Merauke,ID,79.14,overcast clouds,-8.4667,140.3333,
204,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
206,Punta De Piedra,VE,79.48,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
211,Hilo,US,80.11,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
217,Pandan Niog,PH,82.6,scattered clouds,6.2282,120.5631,
218,Harper,LR,77.5,overcast clouds,4.375,-7.7169,Screensaver
237,Libertador General San Martin,AR,88.54,few clouds,-23.8064,-64.7876,Posada del Sol
239,Itoman,JP,77.77,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
250,Nieves,PH,80.11,scattered clouds,15.3274,120.9485,Bill's Inn
251,Punta Gorda,US,82.44,volcanic ash,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
