City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Qaanaaq,GL,77.484,-69.3632,-3.06,61,0,7.25,clear sky
1,Ulladulla,AU,-35.35,150.4667,64.29,84,5,5.19,clear sky
2,Castro,BR,-24.7911,-50.0119,60.12,93,100,3.87,overcast clouds
3,Saint-Pierre,RE,-21.3393,55.4781,73.08,64,40,5.75,scattered clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,100,11.5,light snow
5,Bredasdorp,ZA,-34.5322,20.0403,63.55,96,73,3.27,broken clouds
6,Cidreira,BR,-30.1811,-50.2056,66.87,87,100,11.05,overcast clouds
7,Aksarka,RU,66.5606,67.7975,4.1,95,73,13.58,broken clouds
8,Nuuk,GL,64.1835,-51.7216,23.61,63,75,10.36,broken clouds
9,Alofi,NU,-19.0595,-169.9187,80.49,74,75,11.5,broken clouds
10,Rio Gallegos,AR,-51.6226,-69.2181,59.05,25,40,12.66,scattered clouds
11,Longyearbyen,SJ,78.2186,15.6401,21.04,79,0,10.36,clear sky
12,Dikson,RU,73.5069,80.5464,-2.7,98,81,6.55,broken clouds
13,Jamestown,US,42.097,-79.2353,62.24,72,100,3.44,heavy intensity rain
14,Bestobe,KZ,52.4994,73.0975,31.73,96,100,20.83,light snow
15,Port Alfred,ZA,-33.5906,26.891,69.19,89,100,3.0,light rain
16,Punta Arenas,CL,-53.15,-70.9167,48.31,66,20,10.36,few clouds
17,Saint George,US,37.1041,-113.5841,53.44,24,0,3.0,clear sky
18,Port Hedland,AU,-20.3167,118.5667,66.25,94,19,6.91,few clouds
19,Lavrentiya,RU,65.5833,-171.0,16.12,77,1,8.03,clear sky
20,Kingman,US,35.1894,-114.053,56.75,27,0,13.8,clear sky
21,Mount Isa,AU,-20.7333,139.5,74.97,73,40,4.61,scattered clouds
22,Helena,US,46.5927,-112.0361,36.25,61,0,3.44,clear sky
23,Praia,CV,14.9215,-23.5087,77.54,73,75,11.5,broken clouds
24,Cape Town,ZA,-33.9258,18.4232,63.09,78,0,9.22,clear sky
25,Beringovskiy,RU,63.05,179.3167,10.33,85,36,10.38,scattered clouds
26,Albany,US,42.6001,-73.9662,63.18,91,100,3.0,moderate rain
27,Ilulissat,GL,69.2167,-51.1,19.42,73,75,3.44,broken clouds
28,Tasiilaq,GL,65.6145,-37.6368,33.96,66,100,20.96,overcast clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,69,10.0,broken clouds
30,Namatanai,PG,-3.6667,152.4333,78.89,80,100,4.09,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,74.52,88,100,11.3,overcast clouds
32,Bluff,NZ,-46.6,168.3333,58.8,78,100,6.51,overcast clouds
33,Ferrol,ES,43.4832,-8.2369,60.35,78,0,6.78,clear sky
34,Carnarvon,AU,-24.8667,113.6333,62.47,62,0,22.37,clear sky
35,Georgetown,MY,5.4112,100.3354,78.73,93,20,4.61,few clouds
36,San Cristobal,VE,7.7669,-72.225,73.58,78,85,2.26,overcast clouds
37,Russkaya Polyana,UA,49.417,31.9201,43.83,91,4,4.81,clear sky
38,Panjab,AF,34.388,67.0233,25.18,88,39,3.31,scattered clouds
39,Puerto Escondido,MX,15.85,-97.0667,86.83,58,20,9.22,few clouds
40,Umm Lajj,SA,25.0213,37.2685,77.5,59,4,9.06,clear sky
41,Sarapul,RU,56.4763,53.7978,39.04,98,100,9.91,overcast clouds
42,Atuona,PF,-9.8,-139.0333,77.34,80,13,14.72,few clouds
43,Port Elizabeth,ZA,-33.918,25.5701,68.31,90,0,6.91,clear sky
44,Nabire,ID,-3.3667,135.4833,76.14,87,95,2.91,moderate rain
45,Vangaindrano,MG,-23.35,47.6,71.64,91,21,4.7,few clouds
46,Kaitangata,NZ,-46.2817,169.8464,55.15,65,100,3.78,overcast clouds
47,Bengkulu,ID,-3.8004,102.2655,74.26,91,98,4.05,overcast clouds
48,Chuy,UY,-33.6971,-53.4616,67.93,72,4,12.71,clear sky
49,Barrow,US,71.2906,-156.7887,19.42,93,100,19.57,light snow
50,Lircay,PE,-12.9896,-74.7205,62.65,37,87,4.9,overcast clouds
51,Leh,IN,34.1667,77.5833,21.67,52,11,2.19,few clouds
52,Ushuaia,AR,-54.8,-68.3,51.46,54,20,21.85,few clouds
53,Hermanus,ZA,-34.4187,19.2345,62.8,85,0,5.91,clear sky
54,Isangel,VU,-19.55,169.2667,82.51,89,100,3.44,overcast clouds
55,Souillac,MU,-20.5167,57.5167,71.98,83,20,2.3,few clouds
