City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,56.23,90,65,5.46,ZA,2022-11-08 02:38:32
1,Shache,38.4167,77.2406,46.92,33,100,2.01,CN,2022-11-08 02:38:32
2,Santa Vitoria Do Palmar,-33.5189,-53.3681,58.37,85,6,8.25,BR,2022-11-08 02:38:33
3,Barrow,71.2906,-156.7887,24.82,80,100,24.16,US,2022-11-08 02:38:33
4,Punta Arenas,-53.15,-70.9167,50.11,76,0,12.66,CL,2022-11-08 02:38:34
5,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.92,96,98,1.41,BR,2022-11-08 02:38:34
6,Rikitea,-23.1203,-134.9692,73.81,92,100,16.02,PF,2022-11-08 02:38:34
7,Vila Velha,-20.3297,-40.2925,72.95,84,75,3.44,BR,2022-11-08 02:38:34
8,Nikolskoye,59.7035,30.7861,39.09,92,100,9.86,RU,2022-11-08 02:31:23
9,Bayan,46.0833,127.4,41.09,42,78,10.4,CN,2022-11-08 02:38:35
10,Ostrovnoy,68.0531,39.5131,27.09,97,65,5.12,RU,2022-11-08 02:38:35
11,Kapaa,22.0752,-159.319,80.1,77,40,12.66,US,2022-11-08 02:29:58
12,Iqaluit,63.7506,-68.5145,17.33,67,75,3.44,CA,2022-11-08 02:30:14
13,Ushuaia,-54.8,-68.3,56.86,44,40,9.22,AR,2022-11-08 02:28:18
14,Ilulissat,69.2167,-51.1,-8.88,88,14,6.31,GL,2022-11-08 02:38:36
15,Saint-Philippe,-21.3585,55.7679,71.19,77,14,7.45,RE,2022-11-08 02:31:19
16,Hilo,19.7297,-155.09,80.33,79,100,6.91,US,2022-11-08 02:32:19
17,Mar Del Plata,-38.0023,-57.5575,60.87,91,0,13.0,AR,2022-11-08 02:38:36
18,Esperance,-33.8667,121.9,61.68,71,100,16.73,AU,2022-11-08 02:38:37
19,Torbay,47.6666,-52.7314,59.76,96,100,24.16,CA,2022-11-08 02:32:39
20,Amurzet,47.6967,131.0981,41.65,40,61,9.62,RU,2022-11-08 02:38:37
21,Jamestown,42.097,-79.2353,44.19,70,0,9.22,US,2022-11-08 02:36:03
22,New Norfolk,-42.7826,147.0587,80.89,29,43,3.0,AU,2022-11-08 02:30:32
23,Cabinda,-5.55,12.2,77.34,87,88,5.41,AO,2022-11-08 02:38:38
24,Cabo San Lucas,22.8909,-109.9124,74.52,72,0,11.5,MX,2022-11-08 02:29:57
25,Puerto Colombia,10.9878,-74.9547,75.29,81,98,5.35,CO,2022-11-08 02:31:22
26,Sept-Iles,50.2001,-66.3821,41.43,77,75,18.41,CA,2022-11-08 02:38:38
27,Itumba,-9.4,33.1833,66.13,66,97,3.15,TZ,2022-11-08 02:38:38
28,Asau,46.4333,26.4,40.28,85,100,3.11,RO,2022-11-08 02:38:39
29,Vaini,-21.2,-175.2,82.56,69,20,9.22,TO,2022-11-08 02:30:03
30,Uniontown,39.9001,-79.7164,53.94,55,53,3.83,US,2022-11-08 02:34:53
31,Bengkulu,-3.8004,102.2655,77.79,83,100,2.82,ID,2022-11-08 02:35:04
32,Tasiilaq,65.6145,-37.6368,29.41,96,100,5.57,GL,2022-11-08 02:32:40
33,Bambous Virieux,-20.3428,57.7575,73.65,78,40,5.75,MU,2022-11-08 02:30:16
34,Severo-Kurilsk,50.6789,156.125,40.06,74,84,17.65,RU,2022-11-08 02:38:39
35,Bonthe,7.5264,-12.505,78.08,84,98,4.23,SL,2022-11-08 02:38:40
36,Ouadda,8.0777,22.4007,70.65,73,96,3.11,CF,2022-11-08 02:38:40
37,Cidreira,-30.1811,-50.2056,61.81,81,23,11.61,BR,2022-11-08 02:32:37
38,Celestun,20.8667,-90.4,77.86,82,26,11.27,MX,2022-11-08 02:38:41
39,Carnarvon,-24.8667,113.6333,71.04,55,5,14.05,AU,2022-11-08 02:30:02
40,Sioux Lookout,50.1001,-91.917,28.47,93,100,0.0,CA,2022-11-08 02:38:41
41,Busselton,-33.65,115.3333,66.7,58,90,8.03,AU,2022-11-08 02:29:58
42,Bluff,-46.6,168.3333,65.8,75,62,12.88,NZ,2022-11-08 02:30:05
43,Juneau,58.3019,-134.4197,27.21,73,20,0.0,US,2022-11-08 02:36:49
44,Castro,-24.7911,-50.0119,48.42,98,3,5.01,BR,2022-11-08 02:39:42
45,Dudinka,69.4058,86.1778,-19.62,100,48,2.66,RU,2022-11-08 02:39:42
46,Avera,33.194,-82.5271,67.51,74,3,5.75,US,2022-11-08 02:39:42
47,Antofagasta,-23.65,-70.4,60.08,79,24,2.89,CL,2022-11-08 02:39:43
48,Dossor,47.5272,52.9811,32.94,78,65,3.2,KZ,2022-11-08 02:39:43
49,Saint George,37.1041,-113.5841,64.99,36,0,11.5,US,2022-11-08 02:35:39
50,Arraial Do Cabo,-22.9661,-42.0278,67.62,81,100,5.53,BR,2022-11-08 02:39:43
51,Butaritari,3.0707,172.7902,80.55,73,17,4.59,KI,2022-11-08 02:39:44
52,Airai,-8.9266,125.4092,76.57,53,74,0.65,TL,2022-11-08 02:39:44
53,Rogatica,43.8008,19.0025,42.46,97,77,0.89,BA,2022-11-08 02:39:44
54,Cabedelo,-6.9811,-34.8339,77.67,76,67,6.96,BR,2022-11-08 02:39:45
55,Kysyl-Syr,63.8986,122.7617,-10.37,94,23,4.47,RU,2022-11-08 02:39:45
56,Kita,13.0349,-9.4895,73.08,27,42,4.21,ML,2022-11-08 02:39:45
57,Havre-Saint-Pierre,50.2334,-63.5986,41.0,93,40,21.85,CA,2022-11-08 02:39:46
58,Sinnamary,5.3833,-52.95,77.0,89,100,6.53,GF,2022-11-08 02:33:43
59,Luderitz,-26.6481,15.1594,61.52,85,71,6.82,NA,2022-11-08 02:35:04
60,Galesong,-5.3166,119.3661,86.02,64,92,5.79,ID,2022-11-08 02:39:46
61,Hami,42.8,93.45,51.49,24,100,1.99,CN,2022-11-08 02:30:12
62,Kieta,-6.2167,155.6333,83.21,80,67,9.51,PG,2022-11-08 02:39:46
63,La Ronge,55.1001,-105.2842,10.65,79,100,11.5,CA,2022-11-08 02:39:47
64,Tecoanapa,16.5167,-98.75,80.17,85,21,3.78,MX,2022-11-08 02:39:47
65,Manokwari,-0.8667,134.0833,81.52,81,96,7.43,ID,2022-11-08 02:39:47
66,Thompson,55.7435,-97.8558,-7.44,84,0,0.0,CA,2022-11-08 02:39:46
67,Wanlaweyn,2.6185,44.8938,74.84,87,34,4.97,SO,2022-11-08 02:39:48
68,Adrar,20.5022,-10.0711,73.29,17,5,9.4,MR,2022-11-08 02:39:48
69,Pavlodolskaya,43.7192,44.4781,35.69,94,55,4.0,RU,2022-11-08 02:39:49
70,Lebu,-37.6167,-73.65,52.88,87,100,10.49,CL,2022-11-08 02:32:44
71,Vestmanna,62.1564,-7.1664,47.32,81,100,31.07,FO,2022-11-08 02:39:49
72,Albany,42.6001,-73.9662,50.36,56,4,10.4,US,2022-11-08 02:30:01
73,Eyl,7.9803,49.8164,76.86,78,15,7.07,SO,2022-11-08 02:39:49
74,Nemuro,43.3236,145.575,50.49,60,65,6.11,JP,2022-11-08 02:37:03
75,Najran,17.4924,44.1277,57.85,33,0,4.05,SA,2022-11-08 02:39:50
76,Waipawa,-41.4122,175.5153,58.55,67,24,6.93,NZ,2022-11-08 02:39:50
77,Qaanaaq,77.484,-69.3632,-0.49,98,100,4.07,GL,2022-11-08 02:35:07
78,Moree,-29.4667,149.85,77.22,36,10,3.47,AU,2022-11-08 02:39:50
79,Ponta Do Sol,32.6667,-17.1,68.72,84,73,3.49,PT,2022-11-08 02:29:57
80,Smyrna,33.884,-84.5144,71.64,87,0,3.44,US,2022-11-08 02:39:51
81,Alice Springs,-23.7,133.8833,92.75,15,62,6.91,AU,2022-11-08 02:30:31
82,Salym,60.0625,71.4789,19.54,96,98,7.23,RU,2022-11-08 02:39:51
83,Mataura,-46.1927,168.8643,65.48,43,85,3.24,NZ,2022-11-08 02:30:05
84,Mareeba,-17.0,145.4333,86.49,61,8,8.63,AU,2022-11-08 02:39:52
85,Comodoro Rivadavia,-45.8667,-67.5,71.46,40,0,8.05,AR,2022-11-08 02:39:52
86,Reshetikha,56.2189,43.2936,33.53,98,100,8.19,RU,2022-11-08 02:39:52
87,Tibati,6.4667,12.6333,69.67,62,100,3.87,CM,2022-11-08 02:39:53
88,Yishui,35.7847,118.6281,60.3,46,0,3.87,CN,2022-11-08 02:39:53
89,Hermanus,-34.4187,19.2345,51.8,86,62,6.4,ZA,2022-11-08 02:30:12
90,Nanortalik,60.1432,-45.2371,28.08,87,100,3.91,GL,2022-11-08 02:31:21
91,Turukhansk,65.8167,87.9833,18.54,96,100,9.64,RU,2022-11-08 02:39:53
92,Port Hedland,-20.3167,118.5667,82.45,39,0,19.57,AU,2022-11-08 02:40:54
93,Beringovskiy,63.05,179.3167,27.5,95,100,14.5,RU,2022-11-08 02:40:54
94,Arlit,18.7369,7.3853,69.67,22,35,7.74,NE,2022-11-08 02:40:55
95,Yellowknife,62.456,-114.3525,5.56,85,75,2.3,CA,2022-11-08 02:39:49
96,Sulangan,11.1373,123.7228,83.55,76,81,7.52,PH,2022-11-08 02:40:55
97,Bandarbeyla,9.4942,50.8122,77.86,76,4,2.53,SO,2022-11-08 02:40:55
98,Hambantota,6.1241,81.1185,75.54,100,75,2.3,LK,2022-11-08 02:40:56
99,Broome,42.2506,-75.833,47.86,64,0,12.66,US,2022-11-08 02:31:28
100,Egvekinot,66.3167,-179.1667,19.72,84,100,16.62,RU,2022-11-08 02:40:56
101,Hithadhoo,-0.6,73.0833,82.65,75,22,17.65,MV,2022-11-08 02:40:57
102,Puerto Ayora,-0.7393,-90.3518,66.54,86,87,1.99,EC,2022-11-08 02:31:18
103,Yulara,-25.2406,130.9889,94.8,20,93,17.9,AU,2022-11-08 02:37:25
104,Jasper,37.2001,-94.3502,59.11,54,40,3.44,US,2022-11-08 02:40:57
105,Tuktoyaktuk,69.4541,-133.0374,1.4,78,20,10.36,CA,2022-11-08 02:40:58
